Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
United States,We are a Big Data and Analytics Managed services company. Our vision is to help clients “Leverage their biggest asset –Data”. Noah Data helps enterprises and startups to increase business agility through a combination of State of the art skills: Big Data Engineering | Analytics | Product Development,Founded 2013,< $25 / hr,50 - 249,+1 (770) 989 7324,"$5,000+",1870 The Exchange Suite 100 #22,Noah Data,http://www.noahdatatech.com/
Uruguay,"Welcome to Mercurio, we are a Data Science solution provider.",Founded 2016,$25 - $49 / hr,2 - 9,+59894351444,"$1,000+",Avenida Italia 6201,Mercurio,https://mercuriopi.com/
United States,"We enable organizations to make the most effective strategic and tactical moves relating to their customers, markets, and competition at the rapid pace that the digital business world demands. Course5 Intelligence does this by driving digital transformation through analytics, insights, and Artificial Intelligence (AI). Our clients experience higher top line and bottom line results with improved customer satisfaction and business agility. As we solve today’s problems for our clients, we also enable them to reshape their businesses to meet and actualize the future. Our company name, Course5 Intelligence, aptly describes our mission. The business world today is swimming in oceans of data with multiple technologies and methodologies. We make sense of it all using a combination of human and machine intelligence to chart a course for our customers beyond the four points of the compass, North, South, East, and West, to the fifth direction which is the future. Rapid advances in Artificial Intelligence and Machine Learning technology have enabled us to create disruptive technologies and accelerators under our Course5 Intelligence suites that combine analytics, digital, and research solutions to provide significant and long-term value to our clients.",Founded 2000,Undisclosed,250 - 999,,Undisclosed,"2509 152nd Ave NE, Building 16, Suite E",Couse5 Intelligence,https://www.course5i.com
Belgium,Sentiance is an intelligence-driven data science and behavior change company. We turn motion data into contextual insights and use behavioral change techniques to personalize engagement for safer and sustainable mobility and wellbeing experiences.,Founded 2015,Undisclosed,50 - 249,03 369 96 96,Undisclosed,Korte Lozanastraat 20,Sentiance,https://www.sentiance.com/
United Kingdom,No-Code Data Analytics: Gyana delivers the power of data analytics in a visual interface. Build repeatable workflows and dashboards with all your data. Working with data today is frustrating!,Founded 2015,Undisclosed,10 - 49,02039342616,Undisclosed,"c/o WeWork, 145 City Rd",GYANA,https://www.gyana.com/
United States,"ClearScale is a cloud-native systems integration, strategic consulting and application development company founded in 2011. The company designs, builds, integrates, and manages complex infrastructures and applications on AWS exclusively. ClearScale has successfully delivered more than 900 cloud projects for clients ranging from startups to large enterprises and public sector organizations. Our core competency is delivering custom cloud projects and services for clients who have limited cloud experience on staff or who need additional resources. We leverage the best cloud technology available to provide a solution that is unique to your project requirements. Whether this is your first project in the cloud or one of many, ClearScale has the expertise to handle your most complex requirements. ClearScale is headquartered in San Francisco, CA. We work with companies across all verticals including healthcare, finance, software, public sector, utilities, retail, media, education, and more.",Founded 0,Undisclosed,50 - 249,1-800-591-0442,Undisclosed,"71 Stevenson St., Suite #400",ClearScale,https://www.clearscale.com/
United States,"NEORIS is a Digital Accelerator and partner of some of the biggest companies in the world. We have provided Tech Consulting services for over 20 years in every continent. We have successfully carried out over 1200 big-scale projects and pride ourselves of servicing over 350 clients around the globe. We provide quality service with our 27 offices, plus Delivery Centers and Innovation Labs staffed with some of the best minds in the industry working hard to create the future of business.",Founded 2000,$50 - $99 / hr,"1,000 - 9,999",+1 305-728-6000,"$25,000+",1395 Brickell Avenue,NEORIS,http://www.neoris.com
United States,"AnswerRocket was founded in 2013 on the idea that data and analytics should be accessible to all who need them. From the start, we’ve leveraged AI and machine learning technology to unleash the power of augmented analytics across organizations. Our growing team is based in Atlanta and serves companies across the globe.",Founded 2013,Undisclosed,50 - 249,678-608-0053,"$25,000+","5775 Glenridge Dr, Building B, Suite 450",AnswerRocket,https://www.answerrocket.com/
United States,Ducen is a trusted technology solutions provider working with Fortune 1000 companies to drive business outcomes and enhance their customer experience. We build and deploy custom advanced analytics solutions with our enterprise analytics platform and offer a comprehensive services portfolio covering data management and cyber security to help clients stay ahead of the technology curve.,Founded 2004,$50 - $99 / hr,250 - 999,+1-630-375-8392,"$25,000+",17708 Boniello Drive,Ducen IT,https://www.ducenit.com/
United Arab Emirates,"Saal.ai offers leading cognitive AI solutions to information-intensive domains such as healthcare, financial services, and public services to advance businesses into the digital era. By leveraging the power of AI and the myriad of options resulting from human-machine interaction, Saal.ai strives to unlock exponential growth opportunities for humanity to live meaningful and compassionate lives. The uniqueness of Saal.ai’s framework lies in the flexibility it offers by continuously being optimized to integrate into any business seamlessly.",Founded 2017,$50 - $99 / hr,50 - 249,+97124416755,"$10,000+","CI Tower, 12th Floor, Al Bateen St. Khalidiya",Saal.ai,https://saal.ai/
Netherlands,"Modex is an international data analytics company. Our team consists of senior business managers and data specialists who advise organizations on what they can achieve with data analytics, help them to start, and manage the implementation of data projects.",Founded 2016,$50 - $99 / hr,10 - 49,380442900370,"$10,000+","Sijthoff Offices - Business Center, Grote Marktstraat 45",Modex Analytics,https://modex.one
China,"Tencent is a leading influencer in industries such as social media, mobile payments, online video, games, music, and more. Leverage Tencent's vast ecosystem of key products across various verticals as well as its extensive expertise and networks to gain a competitive edge and make your own impact in these industries.",Founded 2010,Undisclosed,"1,000 - 9,999",+86-10-6267-1188/+852-800-906-020,Undisclosed,"309 West, 3F, No. 49, Zhichun Road","Tencent Cloud Computing (Beijing) Co., Ltd.",https://intl.cloud.tencent.com/
United Kingdom,"We are one of the most reliable and dependable consultancies & Training providers for AI & Machine Learning, Enterprise Data Strategy, Big Data Engineering, Computer Vision, IoT Analytics, natural Language Processing, Deep Learning, Business Intelligence & Data Visualization (QlikSense, Power BI, & Tableau), and Data Analytics for your business firm? We are here with a comprehensive power pack of services that perfectly suits your needs. Enterprise Data Strategy Let the data speak for your business! As the name defines, enterprise data strategy uses a collection of data to reach enterprise goals. Every small to large business rely on data to make better business decisions. Big Data Engineering Work with data architects that gives volume to your market size We have hired an expert team of big data professionals to build data warehousing solutions. Data Visualization Break the complex data formats, and spot the intuitive patterns Our Data visualization services offer comprehensive representation to create intuitive data insights, including pixel-perfect reports and interactive dashboards. We use the best software tools such as; Tableau, Qlik Sense, and Power BI with powerful data sourcing. AI & ML Engineering Train real-world applications with Machine Learning models, and accelerate AI Computer Vision Experience the image processing with advanced algorithms IoT Analytics Harness the power of data to uncover the hidden trends and insights Natural Language Processing Unstructured data to structured data sets derive significant business value Technology Consulting Cutting edge technology selection, to represent your brand online Digital Transformation Implement automated workflow across enterprise and gear up digitally www.bsbiconsulting.co.uk Email: enquiries@bsbiconsulting.co.uk www.bsbitraining.co.uk Phone: 01923913766",Founded 2014,$50 - $99 / hr,10 - 49,+44 1923913766,"$5,000+","BSBI CONSULTING LTD, Office 1.05, 1st Floor, Building 2,Croxely Business Park.",BSBI Consultancy Solutions,http://www.bsbiconsulting.co.uk/
United States,We are affordable and can compete with offshore companies while being in the US.,Founded 2016,$50 - $99 / hr,2 - 9,,"$1,000+",5405 Wilshire Blvd,ROI Express,https://roiexpress.com
United States,Cogito provides human aware technology to help professionals elevate their performance. Cogito’s contact center AI instantly analyzes hundreds of conversational behaviors to provide live in-call guidance combined with a real-time measure of customer experience. The technology is augmenting the emotional intelligence of thousands of agents in the world’s most successful enterprises.,Founded 2007,Undisclosed,50 - 249,617.580.3101,Undisclosed,"100 High St, 7th Floor",Cogito Corp,https://www.cogitocorp.com/
United Kingdom,Coders is a premier software outsourcing and staff augmentation provider that assists technology leaders of all sizes - from startups to Fortune 500 firms - in completing their technology roadmap on time and within budget.,Founded 2010,< $25 / hr,250 - 999,+44 2081338343,"$5,000+","37 Floor 1 Canada Square, Canary Wharf",Coders.Dev,https://www.coders.dev/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United Kingdom,"We drive business impact through innovative cloud engineering, analytics and AI. We operation at the intersection of Technology, Innovation and Business.",Founded 2019,$50 - $99 / hr,2 - 9,+447453281583,"$5,000+",483 Green Lanes,Aegasis Labs,http://www.aegasislabs.com/
Türkiye,"VNGRS is an end-to-end solutions partner that helps enterprises or scale-ups to build the digital experiences they desire. To this day, we have played a pioneering role in the operations of 20+ startups and have led digital transformation projects for more than ten large enterprises.",Founded 2009,$50 - $99 / hr,50 - 249,+90 212 328 02 90,"$25,000+","Yıldız Teknik Üniversitesi, Davutpaşa Teknopark B2-103",VNGRS,https://vngrs.com/
United States,"Alation, the data catalog company, is building a data-fluent world by changing the way people find, understand, trust, use, and reuse data. The first to bring a data catalog to market, Alation combines machine learning and human collaboration to bring confidence to data-driven decisions.",Founded 2012,Undisclosed,250 - 999,650.410.7164,Undisclosed,"3 Lagoon Dr, Suite 300,",Alation,https://www.alation.com/
United States,"Recorded Future arms security teams with the only complete threat intelligence solution powered by patented machine learning to lower risk. Our technology automatically collects and analyzes information from an unrivaled breadth of sources, providing an invaluable context in real-time that is packaged for human analysis or instant integration with security technologies.",Founded 2009,Undisclosed,250 - 999,,Undisclosed,"63 Highland Avenue,",Recorded Future,https://www.recordedfuture.com/
United States,"With a co-founding team led by Andy Palmer and Mike Stonebraker (Turing Award winner) and backed by investors including NEA, Google Ventures, and GE Ventures, Tamr is transforming how companies get value from their data. Tamr is the enterprise-scale data unification company trusted by industry leaders like GE, Toyota, Thomson Reuters, and GSK. The company’s patented software platform uses machine learning supplemented by human expertise to unify and prepare data across myriad silos to deliver previously unavailable business-changing insights.",Founded 2012,Undisclosed,50 - 249,,Undisclosed,66 Church Street,Tamr Inc.,https://www.tamr.com/
United States,"Datawatch Corporation (NASDAQ-CM: DWCH) is the data intelligence solutions provider that will fuel your business. Datawatch can confidently position individuals and organizations to master all data – no matter the origin, format or narrative – resulting in faster time to insight. Datawatch solutions are architected to drive the use of more data, foster more trust and incorporate more minds into analytics and reporting projects.",Founded 1985,Undisclosed,50 - 249,+1.336.275.1065,Undisclosed,"101 S Elm St #225,",Datawatch Corporation,https://www.datawatch.com/
United States,"Zoox Smart Data cree que el conocimiento profundo del cliente, desde la demografía hasta los principales intereses y el comportamiento de consumo, puede potenciar drásticamente el crecimiento de su negocio. Siendo una compañía de tecnología, donde la curiosidad y la agilidad son valores fuertes, Zoox Smart Data asumió el reto de proporcionar una visión del mundo real, que anteriormente solo estaba disponible en la esfera digital.",Founded 2010,Undisclosed,50 - 249,678.580.2482,Undisclosed,75 5th St NW,Zoox Smart Data,https://zooxsmart.com/
United States,"We are a value-driven consulting and engineering partner, helping companies to design and execute their most challenging digital transformations in the cloud. Moving to the cloud is merely the foundation of your digital transformation. Once migration is complete, we integrate cutting-edge technologies into all areas of your organization to redefine the way you do business. Our aim is to take you on a cloud-centric journey to unlock the value hidden in your data",Founded 2006,Undisclosed,50 - 249,404.602.9229,Undisclosed,57 Waddell St SE,ProArch,https://www.proarch.com/
United Kingdom,"PredictX delivers big data, machine learning, and decision automation services to data-reliant industries, in particular, financial services, procurement, retail, travel, and healthcare. Using embedded intelligence and data visualization technology, PredictX continuously drives cost savings, operational efficiencies, and revenue growth. PredictX supports clients in capturing, cleaning and compiling their data from multiple sources from within and outside the business.",Founded 2014,Undisclosed,50 - 249,+4420.3005.6750,Undisclosed,"7th Floor, 52 Grosvenor Gardens",PredictX,https://www.predictx.com/
United States,"At Nexidia, we believe that our success is directly tied to your success. By providing the most innovative interaction analytics solutions available, Nexidia is the partner you can trust. Working with some of the world’s largest contact centers, media and entertainment companies, government agencies, and legal firms, Nexidia helps organizations realize the amazing possibilities now discoverable through advanced speech and interaction analytics.",Founded 2000,Undisclosed,50 - 249,404.495.7220,Undisclosed,"3565 Piedmont Rd., Suite 400, Bldg 2",Nexidia,http://www.nexidia.com/
United Kingdom,"ASI is the EMEA-based leader in data innovation. We specialize in data exploration, data science, advanced analytics, predictive analytics, and data engineering. We offer a comprehensive package of services including consulting, training and sourcing outstanding data specialists from our very own data science fellows and community. Our services are tailor-made for each of our client and we practice discretion and confidentiality in every aspect of our work.",Founded 2014,Undisclosed,50 - 249,,Undisclosed,54 Welbeck Street,ASI Data Science,https://www.asidatascience.com/
China,The trend of AI commercialization is more focus on vertical and scenario-based applications.,Founded 2005,$100 - $149 / hr,250 - 999,+86 10 56257575,"$5,000+","No.6 Zhongguancun South Avenue, BeiXiaGuan, Haidian District","Simple&Smart Technologies, Inc.",http://www.idatafa.com/english/index.html
United States,"General Dynamics Information Technology solves our customers’ biggest challenges through smart, future-focused technology and services, ingenuity and deep mission-knowledge. Partnering with government, defense, the intelligence community, industry leaders and cutting-edge technology companies, we deliver solutions that make a difference – helping our customers to advance mission performance, transform operations and discover opportunities to build a better future.",Founded 0,Undisclosed,"10,000+",+1.319.665.7600,Undisclosed,2400 Oakdale Boulevard,General Dynamics Information Technology,https://gdit.com/
China,"Yimian Data is a data and AI company based in Shenzhen, China, founded by data scientists and management consultants in 2014.",Founded 2014,$50 - $99 / hr,50 - 249,+86-755-8650-3625,"$5,000+","Room 1408, 9966 Shennan Avenue",Yimian Data,http://www.yimian.io/
Spain,"Circiter, a Spanish-based niche consulting firm, offers comprehensive data science services. We are a dynamic team of three consultants, supported by a network of skilled freelancers collaborators. Our expertise lies in turnkey data science projects, often characterized by analytical complexity. Notably, we take pride in our remarkable track record of achieving success where others have struggled. Our projects are akin to layered onions, encompassing a robust analytical core seamlessly integrated with cutting-edge technology, poised for swift deployment within our clients' systems.",Founded 2017,$50 - $99 / hr,2 - 9,+34665644717,"$1,000+",17 Calle de Fray Ceferino González,Circiter,http://circiter.es
China,"Combining the best domain knowledge in big data, artificial intelligence and credit scoring, ADVANCE.AI brings the next generation data centric platforms to transform traditional and emerging industries across Asia Pacific. Backed by top-tier VC firms from Silicon Valley and Asia, we have a regional footprint in the Asia Pacific. Our team members are from world leading institutions and enterprises that bring together global perspectives and local knowhow.",Founded 2015,$50 - $99 / hr,10 - 49,,"$5,000+",Haidian District,ADVANCE.AI,https://www.advance.ai/en-us/
United States,,Founded 2019,$50 - $99 / hr,10 - 49,+14243659817,"$5,000+","541 Jefferson Ave, Ste 100",A17,https://a17.company
China,"Founded in 2011, TalkingData is China's leading third-party data intelligence solution provider. With SmartDP as the core of its data intelligence application ecosystem, TalkingData empowers enterprises and helps them achieve a data-driven digital transformation.",Founded 2011,$50 - $99 / hr,50 - 249,400-870-1230,"$5,000+","Room 608, Aviation Services Plaza, Building #2, No.39 DongZhiMenWai Street, Dongcheng District",TalkingData,http://www.talkingdata.com/
China,"Beijing Yonghong Tech Co., Ltd. was officially founded in 2012. Since its establishment, Yonghong Tech has been always absorbed in providing efficient, reliable and easy-to-use data analysis solutions to enterprises. Now, it has become a leading one-stop big data analysis platform service provider in China.",Founded 2012,$25 - $49 / hr,50 - 249,400-900-2326,"$1,000+","Floor 9, Building C of Second-pahse SOHO, No. 9 of Guanghua Road, Chaoyang District",Yonghong Tech,http://en.yonghongtech.com/
United States,"Pegasus One is a hybrid software development firm that combines the simplicity of a US-based management team with the economy of offshore expertise. Since 2009, our end-to-end development and consulting services have helped clients across North America achieve their business and innovation goals.",Founded 2009,$25 - $49 / hr,50 - 249,+1.714.485.8104,"$10,000+",1440 N Harbor Blvd #900,Pegasus One,https://www.pegasusone.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United States,"EverString’s AI SaaS solution is designed for B2B sales and marketing professionals to drive pipeline growth, help close new customers, expand into new markets, prioritize accounts, and provide actionable insights – all without the need for an administrator. EverString is backed by leading investors including Lightspeed Venture Partners, Sequoia Capital, IDG Ventures and Lakestar.",Founded 2012,$100 - $149 / hr,50 - 249,(650) 425-3937,"$5,000+","1850 Gateway Dr, Suite 400",EverString,https://www.everstring.com/
China,"Gridsum Holding Inc. is a leading provider of cloud-based big-data analytics and AI solutions for multinational and domestic enterprises and government agencies in China. Gridsum’s core technology, the Gridsum Big Data Platform, is built on a distributed computing framework and performs real-time multi-dimensional correlation analysis of both structured and unstructured data. This enables Gridsum’s customers to identify complex relationships within their data and gain new insights that help them make better business decisions. The Company is named “Gridsum” to symbolize the combination of distributed computing (Grid) and analytics (sum). As a digital intelligence pioneer, the Company’s mission is to help enterprises and government organizations in China use data in new and powerful ways to make better informed decisions and be more productive.",Founded 2005,$100 - $149 / hr,250 - 999,+86(10) 8261 998,"$5,000+","Floor 8, Jade Palace Hotel, Zhichun Road No.76 Haidian",Gridsum,http://www.gridsum.com/en/
Poland,"If you are seriously looking for a long-term technology partner as an asset to your business journey, consider us.",Founded 2000,$50 - $99 / hr,50 - 249,,"$10,000+",Przemysłowa 12A/200,u2i,https://www.u2i.com/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Uruguay,"We understand big data and how to make it work for you. Our experts bring solutions to challenges that arise around big data. We enable you to derive powerful insights from critical information that help you to better understand your customers, increase engagement, boost sales and facilitate data-driven decision making processes.",Founded 2016,$50 - $99 / hr,50 - 249,+598 2603 80 77,"$50,000+",Divina Comedia 1637,Montevideo Labs,https://www.montevideolabs.com/
Armenia,is a result driven software development company with an innovative approach at the core of its operations. We provide a variety of services ranging from solutions in,Founded 2021,$25 - $49 / hr,10 - 49,37477668176,"$25,000+",Azatutyan 24/15,SoftShark,https://softshark.io/
Italy,"Reply’s offer is aimed at fostering the success of its customers through the introduction of innovation along the whole economic digital chain. Given its knowledge of specific solutions and due to a consolidated experience, Reply addresses the main core issues of the various industrial sectors. Reply services include Consulting, System Integration and Digital Services. Reply’s offer covers three areas of competence: Processes, Applications and Technologies.",Founded 1996,$100 - $149 / hr,"1,000 - 9,999",+39 011 7711594,"$5,000+","C.so Francia, 110",Reply,http://www.reply.com/it/
United States,"Decentrix is the first media technology company to leverage sophisticated media-centric artificial intelligence and machine learning to maximize the revenue opportunities of media, entertainment, telecommunications, and advertising companies in the cross-media marketplace. By surfacing critical data locked within the operational systems used by these businesses.",Founded 2001,$100 - $149 / hr,10 - 49,303.899.4000,"$5,000+",1200 17th Street | Suite 770,Decentrix,https://www.decentrix.net/
Poland,"Focus on your business, and we will take care of the development.",Founded 2015,$50 - $99 / hr,50 - 249,+48794046387,"$50,000+",Górnośląska 4A,Quantum,https://quantumobile.com/
Czech Republic,Being a trusted supplier of software development services operating worldwide,Founded 2018,$50 - $99 / hr,10 - 49,+420775995022,"$25,000+",Masarykovo nam. 222,abstractR,http://abstract-r.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Poland,,Founded 1998,Undisclosed,"1,000 - 9,999",+48 519 508 736,"$25,000+",Polna 11,PwC Data Analytics,https://www.pwc.pl/en/services/data-analytics.html
India,"At Saviant, we are on a mission to simplify the industrial world around us.",Founded 2015,Undisclosed,50 - 249,020 66547606,Undisclosed,"Kapil Zenith IT Park,",Saviant Consulting,http://www.saviantconsulting.com
United States,"At LEVEL60, analyzing data is what gets us up in the morning, we help you understand what your data wants to tell you.",Founded 2006,Undisclosed,50 - 249,+16152905660,"$10,000+",1033 Demonbreun Street Suite 300,Level60 Consulting,https://level60consulting.com/
Mexico,We empower businesses and people release the value of data into their organizations through a Full-Cycle Analytics.,Founded 2010,$25 - $49 / hr,50 - 249,3347372797,"$25,000+",Av. San Juan 1361,Derevo S.A. de C.V.,http://www.derevo.us
United States,Venturenox is a SaaS product studio and cloud-native consulting company that works with enterprises and startups to help them build and scale their businesses.,Founded 2018,$25 - $49 / hr,10 - 49,+13073020030,"$10,000+",447 Broadway,Venturenox,https://venturenox.com
United Kingdom,"Established in 2010, Atchai is an award-winning data science company based in London (UK) specialising in data science, machine learning, natural language processing, and conversational AI.",Founded 2010,$100 - $149 / hr,2 - 9,020 3137 2845,"$50,000+",38 Turner St,Atchai : Data Science and Applied AI,https://atchai.com/
,Vietnam Technology for Vietnam Future,Founded 2018,$50 - $99 / hr,250 - 999,,"$5,000+",,VBD,https://vinbigdata.com/
India,Sterison is a technology services company with a strong focus on delivering applications & products using multitude of software technologies & hardware products.,Founded 2019,< $25 / hr,10 - 49,07868843405,"$1,000+","16-78B, HMP Tower-B, Market Road, Thuckalay",Sterison Technology Private Limited,https://www.sterison.com
Poland,We help our clients in improving their processes and making better decisions by:,Founded 2017,$25 - $49 / hr,2 - 9,+48608611914,"$1,000+",ul. Grzybowska 87,Intelari,http://www.intelari.pl/en
India,"We are a 17-year-old, financial services company providing Research, Data Management Solutions, and Advanced Analytics Services. The majority of our clients are from the financial markets.",Founded 0,$300+ / hr,250 - 999,91 9967066333,"$1,000+","5A, B-Wing, Trade Star Building, J. B. Nagar, Andheri (East)",Decimal Point Analytics,https://decimalpointanalytics.com/
United States,Clearview is a,Founded 2004,$50 - $99 / hr,10 - 49,8137019579,"$10,000+",18 Bartol Street,Clearview,https://clearview.team/
India,"Prompt Softech is a global IT solution, software and embedded development company with over eleven years of elaborate experience and about 150+ employees dedicated to building clear-cut solutions for complex business challenges. Our focused services are: ✔️ Software development solutions ✔️ Embedded software & hardware solutions ✔️ IoT development solutions ✔️ Big data and analytics ✔️ Cloud computing solutions ✔️ Mobile app development ✔️ Microsoft dynamics 365 technologies Our expert and certified team of developers, professional business consultants, and system integrators earned an excellent reputation by providing extraordinary services and innovative technical solutions worldwide. We provide outstanding solutions to our clients from which our client companies maximize their operating efficiencies and develop and maintain profitable long-term customer relationships.",Founded 2011,$25 - $49 / hr,50 - 249,7573002234,"$5,000+","12 SF, Maurya Times Square,Opp R. K Royal Hall, Science City Rd,Sola,",Prompt Softech,https://www.promptsoftech.com
United States,"We are a digital transformation company delivering innovative, high-quality solutions. We help companies solve and implement high-impact use cases to accelerate transformational engagements by adopting new-age technologies like AI, Machine Learning, and Cloud.",Founded 2012,$50 - $99 / hr,250 - 999,+1 877-637-0367,"$10,000+",4449 Easton Way,"Devfi, Inc",https://www.devfi.com
United States,"KCS (Krish Compusoft Services) is a global information consulting and services company having presence in US (Santa Clara and New Jersey), UK, South Africa, Israel and Japan with our delivery centers in US and India. We have over 17 years of experience with global team of 300 resources across board and certified with CMMI Level 3 Software Company along with ISO 27001 (for security) and ISO 9001 as well.  We are cloud partners with Microsoft, Gold Partners with Microsoft, Standard Partner with Amazon as well as our focus is on Big Data, Data Science, Machine Learning and AI solutions as well as other ISV capabilities that we offer, we already cater to few fortune 500 customers here in the United States and bring an excellent hybrid delivery experience to our partners and customers. Our clients are spread across multiple Industry verticals like BFSI, Government, Manufacturing, Healthcare, Retail, Oil, Gas & Utility, Education, Entertainment and Technology. Our operations revolve around providing IT Services, Consultation and Solutions via On-site, Off-shore and Hybrid methodology.",Founded 2001,$25 - $49 / hr,250 - 999,+1 415 830 9373,"$100,000+","33 Wood Avenue South, Suite # 750",Krish Compusoft Services Inc.,https://www.kcsitglobal.com
Spain,"Mática is a purpose-focused company, dedicated to help the society to solve problems of great impact through the responsible use of technology, technology based on event driven, big data & AI.",Founded 2018,$50 - $99 / hr,10 - 49,34669833367,"$5,000+",Avenida Roma 13-15 Esc B Entresuelo 2°,Mática Partners,https://maticapartners.com
Poland,At 10 Senses we focus on the value and usability of your data. We understand that information is a key piece of modern organisations however many still struggle to successfully tap into that resource and realize its full potential.,Founded 2018,$50 - $99 / hr,2 - 9,+48 506 902 737,"$10,000+",Warsaw,10 Senses,https://10senses.pl/
India,"Exponentia.ai is a global AI tech organization with its presence across India, Singapore, and the UK. Established in the year 2014, Exponentia.ai has served over 60+ clients in BFSI, Education, CPG, and other domains.",Founded 2014,Undisclosed,50 - 249,02225781086,Undisclosed,"1207-1208, Galleria Shopping Mall, 1207, Damji Shamji Business, LBS Rd, Kanjurmarg West, Bhandup West,",Exponentia.ai,https://www.exponentia.ai/
Canada,"At Newcomp Analytics, data is in our DNA. We are a world-class team specialized in consulting, development and training at the highest level. Wherever you are in your analytics journey, we will help you raise your game in today’s complex business environment. Our team of data scientists, engineers and developers deploy analytics for hundreds of clients across all industries and functions around the globe. We have a simple formula to help you win with data: define the goal, find the gaps, then match you with the right people, processes, and tools to get there - coaching you the entire way. To learn more, visit",Founded 1998,$150 - $199 / hr,50 - 249,8888924276,"$10,000+","161 Bay St., Suite 2700",Newcomp Analytics,https://newcomp.com/
United States,"Established in 2010 with a goal to become a Global Innovation & Development partner, Sparity works with Startups, ISV’s, Small & Medium Businesses that are driven by mobility & analytics. At the intersection of product innovation, we offer ideation, design, development & managed services to our partners.",Founded 2010,< $25 / hr,50 - 249,678.666.4747x4011,"$5,000+","11380 Southbridge Parkway, Suite # 201",Sparity Inc,http://www.sparity.com
Pakistan,"Datum Brain was founded in 2017 and is now a global IT service provider. Over the past years, we have developed a professional team of software developers, data scientists, and designers who excel in their domain.",Founded 2017,$25 - $49 / hr,10 - 49,+923334166979,"$5,000+","58 CCA1, DHA Phase 6C",Datum Brain,https://datumbrain.com
Thailand,"DRVR's is South East Asia's leading mobility as a service provider. We have a range of solutions we have developed for fleet managenet, car sharing and insurance. DRVR can off your our product white labelled or develop a bespoke solution from the ground up.",Founded 2015,$25 - $49 / hr,10 - 49,0645800007,"$5,000+",101 Sukhumvit Rd,DRVR,http://www.drvr.co
India,Supista is an AI-powered business intelligence platform that lets you make data-driven decisions for your business growth and have an edge over your competitors.,Founded 2020,$25 - $49 / hr,2 - 9,+91 85958 79669,"$1,000+","H-294, Building 2A, Lane 2, First Floor, Kehar Singh Estate, Saidulajab, Near Saket Metro Station - Exit 2, Saket",Supista,https://supista.com
United States,"Mission is a leading AWS Premier Consulting Partner and Managed Cloud Services Provider. Through its dedicated team of expert cloud operations professionals, solutions architects, and cloud analysts, Mission delivers a comprehensive suite of services to help businesses architect, migrate, manage and optimize their AWS cloud environments.",Founded 0,$200 - $300 / hr,50 - 249,855-647-7466,"$10,000+",9350 Wilshire Blvd Suite 203,Mission Cloud,https://missioncloud.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
United Kingdom,"As the winner of a Queen’s Award for Enterprise, we work with the world’s largest organisations, delivering the IT solutions that millions of people use every day.",Founded 1993,$200 - $300 / hr,"1,000 - 9,999",+44 11 3297 9797,"$50,000+",Coronet House Queen Street,BJSS,https://www.bjss.com/
Luxembourg,"We are a service provider based in Luxembourg delivering data-driven solutions, consulting and software development services to European clients in the fields of Knowledge Graphs, Natural Language Processing, Data Science and related areas.",Founded 2020,$50 - $99 / hr,2 - 9,+352691979412,"$50,000+",61 Rte de Fischbach,Meaningfy,http://meaningfy.ws
Romania,"Driven by agile software development principles and backed by most innovative tools and technologies (Qlikview, QlikSence, PowerBI, Tableau for data discovery and Denodo for data virtualization), Intelactsoft helps companies delivering breakthrough results in software development and getting clarity in their data infrastructure.",Founded 2011,$50 - $99 / hr,10 - 49,+4 021 313 55 56,"$5,000+",Pictor Ion Negulici 32,Intelactsoft,http://www.intelactsoft.com
United States,"Our vision at Ninecoves grew out of a passion for enabling teams to deliver actionable insights decision-makers can trust. We strive to help businesses get reliable and timely insights to make information-driven decisions and develop a data-driven culture. Our proven end-to-end process helps organizations navigate the complexities of gathering, cleaning, transforming, managing, sharing, and visualizing information in a predictable and reliable way by incorporating software engineering best practices into data. We help teams develop an analytics strategy and solutions that help them achieve true DataOps so that teams can focus on empowering their organizations to make data-driven decisions. We bring together best-in-class solutions into an opinionated cohesive ecosystem that enables simple ingestion, scalable processing, data protection, impact analysis, documentation, and self-service for traditional and advanced analytics applications. You'll have a solution foundation to build the best analytics experience possible and drive business results. Deliver trustworthy insights to the right people, in the right way, at the right time with ninecoves.",Founded 2019,Undisclosed,2 - 9,805 244 8210,Undisclosed,Thousand Oaks,ninecoves,https://ninecoves.com/
United States,"Founded in 2004, Nabler is an award-winning marketing analytics consultancy. For nearly two decades now, Nabler has helped marketers raise their bottom line through sound, data-driven, in-the-moment insights. We have advised and assisted some of the top 100 global brands, numerous Fortune 500 firms, and four of the five largest media holding companies.",Founded 2004,$100 - $149 / hr,50 - 249,+1 (332) 255-1877,"$25,000+","1325 Avenue of the Americas, 28th Floor",Nabler,http://www.nabler.com/
